Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;13.2.1;;;;;;;
2;13.2.1;9.2.2;;;;;;
3;13.2.1;9.2.2;16.2.3;;;;;
4;13.2.1;9.2.2;16.2.3;8.1.2;;;;
5;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;;;
6;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;;
7;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;
8;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
9;3.4.2;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
10;3.4.2;8.3.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
11;3.4.2;8.3.2;1.4.2;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
12;3.4.2;8.3.2;1.4.2;5.3.2;18.1.1;8.4.3;13.4.3;12.3.2
13;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;8.4.3;13.4.3;12.3.2
14;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;13.4.3;12.3.2
15;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;12.3.2
16;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
17;14.2.3;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
18;14.2.3;5.1.1;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
19;14.2.3;5.1.1;14.4.1;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
20;14.2.3;5.1.1;14.4.1;13.1.2;17.2.2;4.2.1;6.1.3;11.4.3
21;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;4.2.1;6.1.3;11.4.3
22;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;6.1.3;11.4.3
23;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;11.4.3
24;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
25;7.4.2;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
26;7.4.2;16.4.2;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
27;7.4.2;16.4.2;5.4.3;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
28;7.4.2;16.4.2;5.4.3;5.2.2;11.2.1;3.2.1;15.1.2;13.3.3
29;7.4.2;16.4.2;5.4.3;5.2.2;10.3.2;3.2.1;15.1.2;13.3.3
30;7.4.2;16.4.2;5.4.3;5.2.2;10.3.2;12.2.1;15.1.2;13.3.3
31;7.4.2;16.4.2;5.4.3;5.2.2;10.3.2;12.2.1;12.1.1;13.3.3
32;7.4.2;16.4.2;5.4.3;5.2.2;10.3.2;12.2.1;12.1.1;4.4.3
33;17.1.2;16.4.2;5.4.3;5.2.2;10.3.2;12.2.1;12.1.1;4.4.3
34;17.1.2;4.3.3;5.4.3;5.2.2;10.3.2;12.2.1;12.1.1;4.4.3
35;17.1.2;4.3.3;14.1.3;5.2.2;10.3.2;12.2.1;12.1.1;4.4.3
36;17.1.2;4.3.3;14.1.3;15.4.3;10.3.2;12.2.1;12.1.1;4.4.3
37;17.1.2;4.3.3;14.1.3;15.4.3;2.1.3;12.2.1;12.1.1;4.4.3
38;17.1.2;4.3.3;14.1.3;15.4.3;2.1.3;1.2.2;12.1.1;4.4.3
39;17.1.2;4.3.3;14.1.3;15.4.3;2.1.3;1.2.2;6.3.2;4.4.3
40;17.1.2;4.3.3;14.1.3;15.4.3;2.1.3;1.2.2;6.3.2;9.4.2
41;2.3.2;4.3.3;14.1.3;15.4.3;2.1.3;1.2.2;6.3.2;9.4.2
42;2.3.2;9.3.1;14.1.3;15.4.3;2.1.3;1.2.2;6.3.2;9.4.2
43;2.3.2;9.3.1;17.3.1;15.4.3;2.1.3;1.2.2;6.3.2;9.4.2
44;2.3.2;9.3.1;17.3.1;16.1.2;2.1.3;1.2.2;6.3.2;9.4.2
45;2.3.2;9.3.1;17.3.1;16.1.2;7.1.2;1.2.2;6.3.2;9.4.2
46;2.3.2;9.3.1;17.3.1;16.1.2;7.1.2;11.1.3;6.3.2;9.4.2
47;2.3.2;9.3.1;17.3.1;16.1.2;7.1.2;11.1.3;15.3.1;9.4.2
48;2.3.2;9.3.1;17.3.1;16.1.2;7.1.2;11.1.3;15.3.1;15.2.3
49;18.4.1;9.3.1;17.3.1;16.1.2;7.1.2;11.1.3;15.3.1;15.2.3
50;18.4.1;3.1.1;17.3.1;16.1.2;7.1.2;11.1.3;15.3.1;15.2.3
51;18.4.1;3.1.1;14.3.3;16.1.2;7.1.2;11.1.3;15.3.1;15.2.3
52;18.4.1;3.1.1;14.3.3;16.3.2;7.1.2;11.1.3;15.3.1;15.2.3
53;18.4.1;3.1.1;14.3.3;16.3.2;4.1.3;11.1.3;15.3.1;15.2.3
54;18.4.1;3.1.1;14.3.3;16.3.2;4.1.3;8.2.2;15.3.1;15.2.3
55;18.4.1;3.1.1;14.3.3;16.3.2;4.1.3;8.2.2;10.1.3;15.2.3
56;18.4.1;3.1.1;14.3.3;16.3.2;4.1.3;8.2.2;10.1.3;7.2.3
57;3.3.3;3.1.1;14.3.3;16.3.2;4.1.3;8.2.2;10.1.3;7.2.3
58;3.3.3;10.4.1;14.3.3;16.3.2;4.1.3;8.2.2;10.1.3;7.2.3
59;3.3.3;10.4.1;1.3.1;16.3.2;4.1.3;8.2.2;10.1.3;7.2.3
60;3.3.3;10.4.1;1.3.1;18.2.1;4.1.3;8.2.2;10.1.3;7.2.3
61;3.3.3;10.4.1;1.3.1;18.2.1;7.3.2;8.2.2;10.1.3;7.2.3
62;3.3.3;10.4.1;1.3.1;18.2.1;7.3.2;6.2.3;10.1.3;7.2.3
63;3.3.3;10.4.1;1.3.1;18.2.1;7.3.2;6.2.3;18.3.1;7.2.3
64;3.3.3;10.4.1;1.3.1;18.2.1;7.3.2;6.2.3;18.3.1;12.4.2
65;2.2.1;10.4.1;1.3.1;18.2.1;7.3.2;6.2.3;18.3.1;12.4.2
66;2.2.1;9.1.3;1.3.1;18.2.1;7.3.2;6.2.3;18.3.1;12.4.2
67;2.2.1;9.1.3;17.4.2;18.2.1;7.3.2;6.2.3;18.3.1;12.4.2
68;2.2.1;9.1.3;17.4.2;2.4.1;7.3.2;6.2.3;18.3.1;12.4.2
69;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;6.2.3;18.3.1;12.4.2
70;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;18.3.1;12.4.2
71;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;6.4.2;12.4.2
72;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;6.4.2;1.1.3
73;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;6.4.2;1.1.3
74;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;6.4.2;1.1.3
75;2.2.1;9.1.3;17.4.2;2.4.1;10.2.2;11.3.3;6.4.2;1.1.3
